r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
0.5700000000000001,inf,inf,inf,inf,inf,inf,3284.0181780169787,12818.270204298502,44958.39953517678,1.7543859649122806,-1.7543859649122806,1.7543859649122806
0.58,inf,inf,inf,inf,inf,inf,2655.0220257246174,10381.204057796882,36443.30923087683,1.7241379310344829,-1.7241379310344829,1.7241379310344829
0.59,inf,inf,inf,inf,inf,inf,2153.374227142792,8435.836257401803,29643.08499859489,1.6949152542372883,-1.6949152542372883,1.6949152542372883
0.6,inf,inf,inf,inf,inf,inf,1751.8407499609561,6877.204018687012,24192.0,1.6666666666666667,-1.6666666666666667,1.6666666666666667
0.61,inf,inf,inf,inf,inf,inf,1429.3216676831184,5623.962501490684,19806.577476253915,1.639344262295082,-1.639344262295082,1.639344262295082
0.62,inf,inf,inf,inf,inf,inf,1169.4008386522562,4612.803936343195,16266.16116598833,1.6129032258064517,-1.6129032258064517,1.6129032258064517
0.63,inf,inf,inf,inf,inf,inf,959.2543710021738,3794.2568773695857,13398.289676823228,1.5873015873015872,-1.5873015873015872,1.5873015873015872
0.64,inf,inf,inf,inf,inf,inf,788.8252863408329,3129.509510991053,11067.635544804943,1.5625,-1.5625,1.5625
0.65,inf,inf,inf,inf,inf,inf,650.196649911924,2587.996522385364,9167.602320387305,1.5384615384615383,-1.5384615384615383,1.5384615384615383
0.66,inf,inf,inf,inf,inf,inf,537.1133662668011,2145.557974009476,7613.912986909076,1.5151515151515151,-1.5151515151515151,1.5151515151515151
0.67,inf,inf,inf,inf,inf,inf,444.6158439176194,1783.0286594075706,6339.6970619667645,1.4925373134328357,-1.4925373134328357,1.4925373134328357
0.68,inf,inf,inf,inf,inf,inf,368.75821183301923,1485.1528504370115,5291.710607980391,1.4705882352941175,-1.4705882352941175,1.4705882352941175
0.6900000000000001,inf,inf,inf,inf,inf,inf,306.3907146145016,1239.746061824221,4427.416326157455,1.4492753623188404,-1.4492753623188404,1.4492753623188404
0.7000000000000001,inf,inf,inf,inf,inf,inf,254.9910242267788,1037.0451144926408,3712.719326864857,1.4285714285714284,-1.4285714285714284,1.4285714285714284
0.71,inf,inf,inf,inf,inf,inf,212.5329855207067,869.2023157402431,3120.204766276617,1.4084507042253522,-1.4084507042253522,1.4084507042253522
0.72,inf,inf,inf,inf,inf,inf,177.38412001633412,729.8903725030482,2627.761124941434,1.3888888888888888,-1.3888888888888888,1.3888888888888888
0.73,inf,inf,inf,inf,inf,inf,148.22530666047703,613.9927101126915,2217.500946480235,1.36986301369863,-1.36986301369863,1.36986301369863
0.74,inf,inf,inf,inf,inf,inf,123.98762723978658,517.3599049063101,1874.911865834752,1.3513513513513513,-1.3513513513513513,1.3513513513513513
0.75,inf,inf,inf,inf,inf,inf,103.80254440285933,436.6174800075643,1588.186564263934,1.3333333333333333,-1.3333333333333333,1.3333333333333333
0.76,inf,inf,inf,inf,inf,inf,86.96247166612383,369.0137435199055,1347.692228887396,1.3157894736842106,-1.3157894736842106,1.3157894736842106
0.77,inf,inf,inf,inf,inf,inf,72.88947065421416,312.2989491726363,1145.5491491708028,1.2987012987012987,-1.2987012987012987,1.2987012987012987
